item_name,main_category,sub_category,year,transactions,investment,revenue,profit,profit_margin_percentage,roi_percenatge
Red Basmathi 5Kg Araliya,Pantry Staples,Rice,3,3,40.5,46.336363635,5.836363635,12.595644494190573,14.410774407407406
Red Coconut Sambol,Pantry Staples,Sauces,42,42,149.60000000000008,242.0,92.39999999999996,38.181818181818166,61.764705882352885
Red Kidney Beans 400G,Pantry Staples,Pulses And Grains,106,96,120.1199999999997,170.28000000000003,50.16000000000008,29.457364341085313,41.75824175824193
Red Lentils 500G,Pantry Staples,Grains And Pulses,134,134,262.20000000000044,412.62000000000074,150.42000000000036,36.45484949832778,57.36842105263161
Red Lentils Whole 500G,Pantry Staples,Grains And Pulses,87,84,176.70000000000024,240.87000000000026,64.16999999999994,26.640926640926587,36.31578947368413
Red Lentils Whole 500G (Skin Off),Pantry Staples,Grains And Pulses,14,13,30.0,43.35,13.350000000000001,30.79584775086505,44.50000000000001
Red Onion 10Kg,Fresh Produce,Onions,84,84,850.0,1530.0,680.0,44.44444444444444,80.0
Red Parboiled Rice 1Kg Cic,Pantry Staples,Rice,8,7,19.599999999999998,25.599999999999998,6.0,23.437500000000004,30.612244897959183
Red Radish Bunch,Fresh Produce,Bunch Vegies,384,384,1030.0,741.5999999999975,-288.39999999999816,-38.88888888888877,-27.99999999999982
Red Raw Rice 1Kg Cic,Pantry Staples,Rice,7,7,17.15,27.930000000000007,10.780000000000001,38.59649122807017,62.85714285714287
Red Raw Rice 5G Cic,Fresh Produce,Root Vegies,3,3,27.75,35.97,8.22,22.85237698081735,29.621621621621625
Red Raw Samba 5Kg Cic,Pantry Staples,Rice,3,3,31.5,38.97,7.470000000000001,19.168591224018478,23.714285714285715
Red Raw Samba1Kg,Pantry Staples,Rice,4,4,8.2,14.0,5.8,41.42857142857142,70.73170731707317
Red Rice Flour1Kg,Pantry Staples,Flour,12,12,28.599999999999994,41.6,13.0,31.25,45.45454545454547
Red Shallots,Fresh Produce,Onions,1,1,0.0,4.788,4.788,100.0,inf
Red Split Lentils 1Kg Pattu,Pantry Staples,Grains And Pulses,443,441,778.75,1557.5,778.75,50.0,100.0
Red Split Lentils 2Kg,Pantry Staples,Grains And Pulses,183,182,0.0,1146.0,1146.0,100.0,inf
Red Split Lentils 5Kg,Pantry Staples,Grains And Pulses,35,35,306.25,420.0,113.75,27.083333333333332,37.142857142857146
Red Tip Banana,Fresh Produce,Bananas,96,96,0.0,164.04486,164.04486,100.0,inf
Renuka Coconut Milk Pdr 1Kg,Pantry Staples,Cocunut Products,76,76,866.399999999999,1140.0,273.5999999999998,23.999999999999982,31.57894736842107
Rhubarb,Fresh Produce,Bunch Vegies,55,54,0.0,292.5,292.5,100.0,inf
Rice Crackers 100G,Snacks,Packaged Snacks,19,18,18.620000000000005,28.309999999999988,9.689999999999998,34.228187919463096,52.04081632653059
Rice Crackers 350G,Snacks,Dry Fruits And Nuts,12,12,33.0,54.43636363199999,21.436363632000006,39.37875751017066,64.95867767272729
Rice Crackers Bbq140G,Snacks,Dry Fruits And Nuts,29,28,42.24,86.98181817600002,44.74181817599999,51.438127087052685,105.92286499999997
Rice Crackers Chilli 140G,Snacks,Dry Fruits And Nuts,42,42,60.720000000000006,125.03636362800005,64.31636362799998,51.43812708705268,105.92286499999994
Rice Flour Unroasted Agro,Pantry Staples,Flour,29,28,94.25,130.5,36.25,27.77777777777778,38.46153846153847
Richmi Mora Dried Fish 150G,Pantry Staples,Condiments,25,25,122.50000000000006,187.5,65.00000000000001,34.66666666666667,53.06122448979591
Rigatoni No.58,Pantry Staples,Pasta,111,106,0.0,131.66999999999985,131.66999999999985,100.0,inf
Risine Large 500G,Pantry Staples,Condiments,31,30,62.999999999999964,90.99999999999997,28.000000000000014,30.769230769230795,44.44444444444449
Risoni Medium,Pantry Staples,Condiments,36,33,64.79999999999995,93.59999999999995,28.800000000000015,30.7692307692308,44.4444444444445
Roasted Chilli 250G Ra,Pantry Staples,Spices,34,34,93.5,119.0,25.5,21.428571428571427,27.27272727272727
Roasted Curry Powder500G Kand,Pantry Staples,Spices,4,4,18.0,26.0,8.0,30.76923076923077,44.44444444444444
Roasted Peanut,Snacks,Dry Fruits And Nuts,27,27,0.0,32.53768,32.53768,100.0,inf
Roasted Peanut In Shell 370G,Snacks,Packaged Snacks,28,28,72.5,118.37272727800008,45.872727277999985,38.75278396709338,63.27272727999998
Rockmelon,Fresh Produce,Melons,1126,1125,0.0,2282.399999999985,2282.399999999985,100.0,inf
Rockmelon Half,Fresh Produce,Cut Fruits,47,46,48.0,48.0,0.0,0.0,0.0
Rosemary,Fresh Produce,Herbs,17,17,0.0,59.5,59.5,100.0,inf
Royal Chilli Garlic Cashew Nuts 100G,Snacks,Dry Fruits And Nuts,13,13,31.59,37.818181817,6.228181817,16.468749997389647,19.71567526748971
Royal Gala 1Kg Punnet,Fresh Produce,Apples,407,407,0.0,1659.8400000000033,1659.8400000000033,100.0,inf
Rozana Basmati 5Kg,Pantry Staples,Rice,23,23,241.5,310.5,69.0,22.22222222222222,28.57142857142857
Rstd White Rice Flour 1Kg,Pantry Staples,Flour,7,7,24.0,34.32,10.32,30.069930069930074,43.0
Rulan Aluwa 400G,Snacks,Biscuits,27,26,110.69999999999995,161.73000000000002,51.03000000000001,31.552587646076795,46.09756097560979
Sage,Fresh Produce,Herbs,7,7,0.0,24.5,24.5,100.0,inf
Sago 250G,Pantry Staples,Pulses And Grains,21,21,26.25,47.25,21.0,44.44444444444444,80.0
Salad Onion,Fresh Produce,Onions,142,141,0.0,267.0,267.0,100.0,inf
Salted Olives Black,Fresh Produce,Other Vegies,936,930,0.0,4595.200199999995,4595.200199999995,100.0,inf
Samahan 30Pack,Beverages,Tea,23,23,144.89999999999998,172.5,27.59999999999999,15.999999999999995,19.047619047619044
Samaposha 200G,Snacks,Cereals,70,69,142.5,226.86000000000007,84.35999999999994,37.18592964824117,59.19999999999996
Sanremo Eggnoodless 1Kg,Snacks,Noodles,244,244,607.9399999999985,941.5,333.56000000000114,35.42857142857155,54.867256637168474
Savoury Nuts 170G Mun,Snacks,Dry Fruits And Nuts,18,17,18.0,32.56363636199998,14.563636362,44.72361808767458,80.9090909
Savoy Cabbage Quter,Fresh Produce,Cut Veggies,1,1,0.0,1.25,1.25,100.0,inf
Savoy Half,Fresh Produce,Cut Veggies,674,674,0.0,2055.0,2055.0,100.0,inf
Seeds & Grains Rice Crackers,Snacks,Packaged Snacks,3,3,0.0,5.97,5.97,100.0,inf
Seeni Sambol Kist,Pantry Staples,Spices,13,13,20.67,32.5,11.83,36.4,57.23270440251572
Seenisambol 350G Derana,Pantry Staples,Sauces,63,58,308.20000000000005,435.5,127.30000000000014,29.230769230769262,41.304347826086996
Sela Basmati 5Kg,Pantry Staples,Rice,46,46,529.0,690.0,161.0,23.333333333333332,30.434782608695656
Select Basmathi 5Kg Daawat,Pantry Staples,Rice,64,64,1008.0,1280.0,272.0,21.25,26.984126984126984
Self Raising 2Kg,Pantry Staples,Flour,58,56,222.0,333.0,111.0,33.33333333333333,50.0
Self Raising Flour 1Kg,Pantry Staples,Flour,11,10,19.2,28.680000000000003,9.48,33.054393305439326,49.375
Semolina 1Kg Fine Pattu,Pantry Staples,Flour,1,1,1.4,3.0,1.6,53.333333333333336,114.2857142857143
Semolina Coarse 1Kg,Pantry Staples,Flour,4,4,5.6,12.0,6.4,53.333333333333336,114.2857142857143
Semolina Coarse 500G,Pantry Staples,Flour,124,120,200.20000000000036,314.5999999999994,114.39999999999979,36.36363636363637,57.14285714285694
Semolina Fine 1Kg,Pantry Staples,Flour,16,15,24.0,48.0,24.0,50.0,100.0
Semolina Fine 500G,Pantry Staples,Flour,86,83,170.80000000000024,268.39999999999947,97.59999999999988,36.363636363636395,57.142857142857
Sesame Balls 200G,Snacks,Biscuit,24,22,69.59999999999998,95.75999999999999,26.16,27.318295739348375,37.58620689655173
Sesame Balls 200G Araliya,Pantry Staples,Grains And Pulses,21,21,105.60000000000002,120.0,14.399999999999995,11.999999999999995,13.63636363636363
Sesame Biscota 250G,Snacks,Biscuit,536,447,1854.0,2359.6363635240195,505.63636352400624,21.42857142483002,27.272727266667
